wavelength      radiance
9.30233       6.13553E+00
9.29368       6.30913E+00
9.28505       6.43189E+00
9.27644       6.46512E+00
9.26784       6.46178E+00
9.25926       6.40262E+00
9.25069       6.34860E+00
9.24214       6.36798E+00
9.23361       6.44263E+00
9.22509       6.45265E+00
9.21659       6.43228E+00
9.20810       6.42550E+00
9.19963       6.42768E+00
9.19118       6.44217E+00
9.18274       6.47754E+00
9.17431       6.39946E+00
9.16590       6.28267E+00
9.15751       6.36846E+00
9.14913       6.49892E+00
9.14077       6.51677E+00
9.13242       6.52510E+00
9.12409       6.56066E+00
9.11577       6.57331E+00
9.10747       6.52274E+00
9.09918       6.37740E+00
9.09091       6.24750E+00
9.08265       6.21791E+00
9.07441       6.31416E+00
9.06618       6.47046E+00
9.05797       6.54439E+00
9.04977       6.47486E+00
9.04159       6.24890E+00
9.03342       6.13679E+00
9.02527       6.35344E+00
9.01713       6.52898E+00
9.00901       6.40669E+00
9.00090       6.16143E+00
8.99281       6.16172E+00
8.98473       6.38226E+00
8.97666       6.48326E+00
8.96861       6.48061E+00
8.96057       6.46553E+00
8.95255       6.42013E+00
8.94454       6.38195E+00
8.93655       6.36345E+00
8.92857       6.13963E+00
8.92061       5.86770E+00
8.91266       6.04812E+00
